"id","home_type","bed","bath","play_ground","swimming_tank","acre_lot","house_size","city","state_name","zip_code","zip_code_population","listing_date","listing_price","sold_date","actual_sold_price","status"
"nbBzVcXJdY","Multi Family",3,4,"N","Y",8.227,2861,"Atlantic City","New Jersey",8404,8900,"2020-07-22",136070,"2020-10-01",462010,"Pending"
"a2Xz83Jjkf","Land",3,0,"Y","N",9.006,126,"Elizabeth","New Jersey",7216,2100,"2020-04-03",412599,"2020-08-24",256388,"Pending"
"WIaEnjWfSf","Multi Family",1,3,"N","Y",0.551,2526,"Elizabeth","New Jersey",7208,6890,"2020-01-31",344181,"2020-12-24",470043,"Pending"
"LrUxK5ULYO","Land",0,2,"Y","Y",7.277,449,"Elizabeth","New Jersey",7208,6890,"2021-01-21",151506,"2020-10-11",480046,"Pending"
"WLhEkP8hvD","Multi Family",1,2,"N","Y",0.408,2582,"Elizabeth","New Jersey",7215,26500,"2020-08-20",227049,"2020-09-13",198120,"Pending"
"Wghor650ut","Multi Family",4,2,"N","Y",6.226,2848,"Atlantic City","New Jersey",8404,8900,"2020-01-19",223992,"2020-02-25",131222,"Sold"
"vxHqjvfYVY","Land",2,2,"N","N",6.004,1586,"Elizabeth","New Jersey",7216,2100,"2020-05-11",43701,"2020-03-03",249344,"Sold"
"1LtAtlfGkd","Multi Family",3,0,"N","N",7.405,1686,"Atlantic City","New Jersey",8404,8900,"2021-01-13",121617,"2020-04-21",249747,"Sold"
"iz3qIZzpar","Single Family",3,1,"Y","N",4.708,656,"Atlantic City","New Jersey",8405,45600,"2021-01-05",390108,"2020-10-11",296250,"Sold"
"Y4UwNlVrIs","Multi Family",1,0,"Y","Y",0.268,2297,"Atlantic City","New Jersey",8404,8900,"2020-10-30",418876,"2020-11-03",494976,"Sold"
"YVxCWin5lv","Multi Family",5,4,"Y","Y",6.013,1189,"Hammonton","New Jersey",8037,23729,"2020-05-31",234257,"2020-04-14",144441,"Sold"
"Cm4Al1lkUF","Single Family",4,2,"Y","N",7.084,373,"Elizabeth","New Jersey",7216,2100,"2020-08-18",236633,"2021-01-19",176240,"Pending"
"t8w2ORFBWX","Multi Family",5,0,"Y","Y",1,425,"Atlantic City","New Jersey",8405,45600,"2020-03-21",33579,"2021-01-22",420500,"Pending"
"IUc1q86O1R","Land",5,1,"Y","N",2.191,695,"Hudson County","New Jersey",7305,12700,"2020-03-24",77909,"2020-09-08",179198,"Pending"
"hwLaKcFuHi","Multi Family",2,2,"N","Y",5.179,358,"Basking Ridge","New Jersey",7920,7000,"2020-03-31",490500,"2020-08-18",425257,"Sold"
"n92UIDWwAX","Multi Family",0,4,"Y","Y",8.754,1114,"Elizabeth","New Jersey",7215,26500,"2020-11-19",321261,"2020-04-17",173146,"Pending"
"HsGX7MpYFP","Multi Family",1,2,"N","N",2.973,469,"Elizabeth","New Jersey",7216,2100,"2020-11-14",110389,"2021-01-30",268207,"Pending"
"0MSthRdnuw","Land",2,2,"Y","N",1.086,2090,"Elizabeth","New Jersey",7216,2100,"2020-04-19",371166,"2020-08-01",256600,"Sold"
"NXXfjoCGHT","Multi Family",0,1,"N","Y",5.54,2886,"Elizabeth","New Jersey",7216,2100,"2020-04-03",403283,"2020-02-28",233348,"Pending"
"TX45eIAyTp","Single Family",0,0,"N","N",6.327,885,"Elizabeth","New Jersey",7215,26500,"2020-03-29",477203,"2020-03-30",383920,"Sold"
"Le4JjWR8jN","Single Family",1,0,"N","N",1.369,2170,"Atlantic City","New Jersey",8404,8900,"2021-01-02",494268,"2020-03-07",280411,"Sold"
"0MSthRdnuw","Land",2,2,"Y","N",1.086,2090,"Elizabeth","New Jersey",7208,6890,"2020-04-19",371166,"2020-08-01",256600,"Sold"
"pU2BwWVQHD","Single Family",1,0,"Y","N",6.465,2253,"Atlantic City","New Jersey",8404,8900,"2020-12-26",318654,"2020-11-21",457470,"Pending"
"UK86sFS5f6","Single Family",1,3,"Y","Y",0.689,643,"Elizabeth","New Jersey",7215,26500,"2020-05-17",91332,"2020-11-19",409939,"Sold"
"KIHwxDU4aJ","Multi Family",1,4,"Y","Y",4.429,1098,"Elizabeth","New Jersey",7216,2100,"2020-05-13",386717,"2020-11-08",306269,"Pending"
"5IOEEg9hRy","Single Family",5,1,"N","Y",4.62,2943,"Basking Ridge","New Jersey",7920,7000,"2020-03-19",300216,"2020-07-09",443591,"Pending"
"Cm4Al1lkUF","Single Family",4,2,"Y","N",7.084,373,"Elizabeth","New Jersey",7208,6890,"2020-08-18",236633,"2021-01-19",176240,"Pending"
"GCVFQZM0S0","Single Family",0,0,"Y","N",4.178,2124,"Elizabeth","New Jersey",7208,6890,"2020-04-29",72648,"2020-02-12",429753,"Sold"
"04aEnREszK","Land",1,1,"Y","N",1.998,1078,"Elizabeth","New Jersey",7215,26500,"2020-12-08",64822,"2020-05-26",441028,"Pending"
"XwiKjJLqEt","Multi Family",1,0,"Y","N",1.259,2099,"Atlantic City","New Jersey",8402,6500,"2020-07-29",165364,"2020-08-26",197407,"Sold"
"1L0OYOT8Gx","Multi Family",1,4,"Y","Y",6.065,506,"Elizabeth","New Jersey",7216,2100,"2020-03-26",402574,"2020-12-09",98906,"Sold"
"38s5SUTZBj","Single Family",0,2,"N","Y",7.492,655,"Hammonton","New Jersey",8037,23729,"2020-02-18",107904,"2020-11-04",187785,"Sold"
"CGfuTAja6e","Multi Family",2,2,"Y","N",0.08,560,"Hudson County","New Jersey",7305,12700,"2020-01-10",128000,"2020-04-05",129000,"Sold"
"YyXv9LPyLu","Multi Family",0,4,"Y","N",3.557,530,"Atlantic City","New Jersey",8405,45600,"2020-09-10",27881,"2020-09-01",243194,"Sold"
"7jRwdHkwoY","Land",3,4,"Y","N",8.055,396,"Elizabeth","New Jersey",7216,2100,"2020-05-17",119843,"2020-05-21",310907,"Pending"
"XvAL2C7dyV","Land",3,3,"N","N",3.787,412,"Elizabeth","New Jersey",7215,26500,"2020-05-08",196747,"2020-08-03",497730,"Pending"
"NHBTsBsp6z","Land",1,0,"Y","Y",6.489,2059,"Atlantic City","New Jersey",8405,45600,"2020-08-02",56167,"2020-01-07",354678,"Sold"
"pgwaVIyoP6","Land",0,4,"N","Y",7.386,1788,"Hudson County","New Jersey",7305,12700,"2020-07-19",428540,"2020-10-17",134554,"Pending"
"KOF3Vadbt6","Single Family",0,2,"Y","Y",2.16,563,"Atlantic City","New Jersey",8404,8900,"2020-11-08",112395,"2020-10-04",246068,"Pending"
"OYytE3uV5J","Single Family",5,2,"Y","Y",7.624,878,"Elizabeth","New Jersey",7216,2100,"2020-06-22",53428,"2020-12-20",287445,"Pending"
"B0dk5tRcpO","Multi Family",4,4,"Y","N",0.204,2259,"Atlantic City","New Jersey",8402,6500,"2020-05-31",306680,"2020-11-25",492243,"Sold"
"iTL7UzAE7l","Multi Family",4,2,"N","N",1.914,1291,"Elizabeth","New Jersey",7215,26500,"2020-02-28",481158,"2021-01-01",396034,"Pending"
"WL9ouwbqvF","Land",1,2,"N","Y",9.572,1497,"Atlantic City","New Jersey",8404,8900,"2020-04-14",200567,"2020-10-24",343087,"Pending"
"ZZLxjAnoQk","Land",1,4,"N","N",7.872,2667,"Atlantic City","New Jersey",8404,8900,"2020-11-14",324934,"2020-07-28",425244,"Pending"
"woEZFm5cVD","Single Family",5,4,"N","Y",7.89,1849,"Elizabeth","New Jersey",7216,2100,"2020-06-30",317932,"2020-11-23",321641,"Sold"
"KIHwxDU4aJ","Multi Family",1,4,"Y","Y",4.429,1098,"Elizabeth","New Jersey",7215,26500,"2020-05-13",386717,"2020-11-08",306269,"Pending"
"UpaUxcPUD0","Single Family",0,2,"Y","N",1.82,2959,"Elizabeth","New Jersey",7208,6890,"2020-01-30",128337,"2020-12-19",94304,"Sold"
"IcD78u0HPK","Land",0,3,"Y","Y",6.216,218,"Atlantic City","New Jersey",8404,8900,"2020-06-10",498695,"2020-07-17",270353,"Sold"
"vOw72j3nZP","Single Family",1,3,"Y","N",1.49,2638,"Elizabeth","New Jersey",7215,26500,"2020-10-07",231276,"2020-10-03",110073,"Sold"
"LrbHvL1iaU","Multi Family",1,4,"N","Y",1.625,2433,"Elizabeth","New Jersey",7208,6890,"2020-07-15",166890,"2020-01-27",251790,"Pending"
"UktCvLQZun","Single Family",1,3,"N","Y",1.196,1929,"Atlantic City","New Jersey",8404,8900,"2020-12-26",417139,"2020-06-29",492522,"Sold"
"cl0Qq782sA","Single Family",5,3,"N","Y",9.333,1072,"Elizabeth","New Jersey",7208,6890,"2020-12-04",352726,"2020-11-10",130927,"Sold"
"pjDnAGjSbq","Multi Family",4,2,"N","N",9.972,1167,"Hudson County","New Jersey",7305,12700,"2020-03-18",109857,"2020-05-31",47601,"Sold"
"FijbEXh60l","Multi Family",2,4,"Y","Y",0.302,660,"Atlantic City","New Jersey",8402,6500,"2020-03-12",425363,"2020-11-20",331232,"Pending"
"WLhEkP8hvD","Multi Family",1,2,"N","Y",0.408,2582,"Elizabeth","New Jersey",7208,6890,"2020-08-20",227049,"2020-09-13",198120,"Pending"
"SM2CoyxQGL","Land",1,0,"Y","Y",2.253,1971,"Atlantic City","New Jersey",8404,8900,"2020-05-11",269529,"2020-07-04",336481,"Sold"
"AJ46Z7qTiY","Multi Family",1,0,"N","Y",9.993,1180,"Elizabeth","New Jersey",7208,6890,"2021-01-10",337653,"2020-12-09",322909,"Pending"
"t5ZbQNFyzK","Multi Family",0,2,"Y","Y",8.968,1001,"Atlantic City","New Jersey",8404,8900,"2020-08-22",212179,"2021-01-21",271004,"Sold"
"IXqS0K0vSi","Multi Family",1,3,"N","Y",2.413,2739,"Elizabeth","New Jersey",7215,26500,"2020-09-24",409346,"2020-10-02",307457,"Sold"
"E5Kh2c8SWw","Land",3,4,"Y","Y",5.148,1074,"Atlantic City","New Jersey",8405,45600,"2020-03-18",464600,"2020-07-16",24959,"Pending"
"6j45fs9nau","Multi Family",5,4,"Y","N",5.912,892,"Hudson County","New Jersey",7305,12700,"2020-10-30",297878,"2020-04-29",487779,"Sold"
"TIKrElSaqK","Multi Family",1,0,"Y","N",8.057,2313,"Basking Ridge","New Jersey",7920,7000,"2020-03-13",128153,"2020-09-01",453968,"Pending"
"X8I8RDLrNV","Multi Family",3,1,"Y","N",9.588,1644,"Atlantic City","New Jersey",8405,45600,"2020-01-22",411892,"2020-06-12",271445,"Pending"
"1cUaGLh98R","Multi Family",5,2,"Y","N",3.875,1318,"Atlantic City","New Jersey",8404,8900,"2020-09-28",369786,"2020-09-24",327969,"Pending"
"Dm21O9jKL0","Multi Family",3,2,"N","Y",6.704,454,"Basking Ridge","New Jersey",7920,7000,"2020-05-08",410209,"2020-08-04",79633,"Sold"
"SozbJDUbBo","Multi Family",2,0,"Y","N",2.537,734,"Atlantic City","New Jersey",8402,6500,"2021-01-17",337513,"2020-11-18",241564,"Pending"
"NR22kAtHv2","Single Family",3,1,"N","Y",6.097,829,"Basking Ridge","New Jersey",7920,7000,"2020-01-11",100129,"2020-05-14",154012,"Pending"
"Nhf7MTi81I","Single Family",1,1,"N","N",0.261,802,"Basking Ridge","New Jersey",7920,7000,"2020-05-25",157808,"2020-09-20",380451,"Sold"
"WlfY6n0pRR","Single Family",2,2,"Y","Y",5.313,471,"Atlantic City","New Jersey",8405,45600,"2020-07-10",492965,"2020-06-15",439254,"Pending"
"Da3G3jGLDx","Multi Family",3,3,"Y","Y",0.33,2835,"Atlantic City","New Jersey",8404,8900,"2021-01-30",323179,"2020-08-11",421687,"Sold"
"Eyt28UJ7WF","Multi Family",5,4,"Y","Y",1.46,2271,"Atlantic City","New Jersey",8402,6500,"2020-07-08",64098,"2020-02-12",114394,"Sold"
"cgn8rzdY5d","Multi Family",4,0,"N","N",4.363,1853,"Elizabeth","New Jersey",7216,2100,"2020-12-27",336014,"2020-10-06",164833,"Pending"
"sCvWpuCYf0","Multi Family",2,1,"N","N",6.636,2409,"Elizabeth","New Jersey",7208,6890,"2020-11-24",113879,"2020-12-21",299077,"Sold"
"i0Czci60mq","Multi Family",3,3,"N","Y",5.428,984,"Elizabeth","New Jersey",7208,6890,"2020-08-01",74086,"2020-02-20",283727,"Sold"
"ACfZ7p4k7t","Single Family",0,0,"Y","N",7.087,910,"Elizabeth","New Jersey",7215,26500,"2020-01-28",403007,"2020-01-10",31978,"Sold"
"2eHm1yuWIL","Land",0,1,"Y","N",4.778,842,"Elizabeth","New Jersey",7208,6890,"2020-12-20",235194,"2020-11-19",453582,"Pending"
"pC4opT2hCU","Single Family",3,3,"Y","Y",3.136,2358,"Hammonton","New Jersey",8037,23729,"2020-02-03",142587,"2020-12-19",35279,"Sold"
"61jNAYUlAO","Land",2,2,"Y","N",4.277,650,"Elizabeth","New Jersey",7208,6890,"2020-09-19",255127,"2020-01-09",391058,"Sold"
"o0WgF2FfJl","Single Family",1,2,"Y","Y",3.154,398,"Elizabeth","New Jersey",7208,6890,"2020-03-28",370347,"2020-03-11",496298,"Sold"
"6lB4smV1di","Multi Family",0,3,"Y","N",5.322,312,"Hudson County","New Jersey",7305,12700,"2020-06-12",299321,"2020-04-07",378312,"Sold"
"LfW1mYNxvz","Multi Family",2,3,"Y","Y",4.325,2888,"Elizabeth","New Jersey",7208,6890,"2021-01-10",97437,"2020-11-14",393553,"Sold"
"VAXwIfLPWT","Land",2,2,"Y","Y",2.188,2195,"Elizabeth","New Jersey",7216,2100,"2020-04-19",18700,"2020-06-28",226623,"Sold"
"mqemmSA28n","Land",3,0,"Y","N",2.972,1714,"Atlantic City","New Jersey",8404,8900,"2020-11-05",372266,"2020-07-29",466969,"Sold"
"AGChGMuPS8","Multi Family",4,2,"Y","Y",2.216,1798,"Atlantic City","New Jersey",8402,6500,"2020-09-21",375013,"2020-09-08",240008,"Pending"
"xbouNhg7gs","Single Family",2,4,"Y","N",6.457,1529,"Elizabeth","New Jersey",7216,2100,"2020-06-24",124402,"2020-02-13",383141,"Pending"
"c4oEWY4oOo","Multi Family",2,3,"Y","N",8.984,2107,"Elizabeth","New Jersey",7216,2100,"2020-03-23",67538,"2020-07-11",394780,"Pending"
"xd6OARiO4a","Land",3,2,"Y","Y",5.963,2351,"Atlantic City","New Jersey",8402,6500,"2020-08-24",289211,"2020-05-23",280403,"Sold"
"Mr5j7pPifu","Multi Family",2,1,"Y","N",7.564,2241,"Elizabeth","New Jersey",7208,6890,"2020-01-28",490338,"2020-05-05",288297,"Sold"
"aASQEgAHGY","Land",2,3,"N","N",7.157,2425,"Elizabeth","New Jersey",7208,6890,"2020-10-10",168077,"2020-04-08",75388,"Pending"
"ZAeU3PqOoO","Land",1,2,"Y","Y",8.138,2116,"Atlantic City","New Jersey",8402,6500,"2020-06-05",427054,"2020-12-26",53964,"Sold"
"31EltgO1u2","Land",0,3,"Y","Y",2.158,367,"Basking Ridge","New Jersey",7920,7000,"2020-10-28",127860,"2021-01-21",293961,"Pending"
"Wtka2j1zHZ","Multi Family",0,3,"Y","Y",7.058,366,"Atlantic City","New Jersey",8405,45600,"2020-11-14",232531,"2020-11-06",447465,"Pending"
"MiFIBzXfHF","Single Family",3,0,"Y","N",1.934,2550,"Atlantic City","New Jersey",8402,6500,"2020-10-24",230474,"2020-11-14",308815,"Sold"
"MYst5Df5dA","Multi Family",4,2,"Y","Y",6.062,2143,"Atlantic City","New Jersey",8405,45600,"2020-06-18",388950,"2020-12-27",167129,"Pending"
"AJxjfUW2Ma","Land",5,4,"Y","Y",7.675,1524,"Atlantic City","New Jersey",8402,6500,"2020-10-21",414351,"2020-09-06",460707,"Sold"
"bMvLuy5XGb","Multi Family",5,1,"N","Y",2.751,2226,"Elizabeth","New Jersey",7215,26500,"2020-06-18",474545,"2020-05-08",187886,"Pending"
"M9KgG0Mcz1","Single Family",2,0,"Y","N",2.137,2491,"Atlantic City","New Jersey",8404,8900,"2020-02-15",387135,"2020-05-24",34304,"Pending"
"1dkqV8DZgz","Single Family",5,4,"N","Y",2.215,241,"Atlantic City","New Jersey",8405,45600,"2020-07-10",256453,"2020-02-08",120780,"Pending"
"JXfNgtNywB","Land",5,4,"N","N",6.923,944,"Atlantic City","New Jersey",8404,8900,"2020-09-20",165928,"2020-09-11",48976,"Sold"
"NapcFT8EBZ","Land",5,1,"Y","N",7.922,1683,"Atlantic City","New Jersey",8402,6500,"2020-08-20",312010,"2020-11-29",322274,"Sold"
"xPRXcVL7uX","Single Family",3,4,"N","Y",0.689,2225,"Atlantic City","New Jersey",8405,45600,"2020-08-14",210908,"2020-05-10",485255,"Sold"
"CIuvIFxkUU","Single Family",3,0,"Y","N",3.775,1695,"Atlantic City","New Jersey",8402,6500,"2020-02-02",72442,"2020-07-14",201624,"Sold"
"CvjF7dlzUM","Single Family",4,3,"N","N",5.292,1941,"Atlantic City","New Jersey",8402,6500,"2020-12-30",211730,"2020-11-19",394267,"Pending"
"66z3Qfj5kP","Single Family",4,0,"Y","N",4.013,2309,"Atlantic City","New Jersey",8402,6500,"2020-09-03",428657,"2020-08-27",189545,"Pending"
"nsrtNJEHaj","Multi Family",3,0,"N","Y",3.758,2673,"Elizabeth","New Jersey",7216,2100,"2020-11-01",352580,"2020-11-14",11430,"Pending"
"Y4UwNlVrIs","Multi Family",1,0,"Y","Y",0.268,2297,"Atlantic City","New Jersey",8405,45600,"2020-10-30",418876,"2020-11-03",494976,"Sold"
"K81PVVJtUh","Land",5,4,"Y","N",5.045,2860,"Atlantic City","New Jersey",8404,8900,"2020-07-05",138183,"2020-09-18",430308,"Sold"
"1L0OYOT8Gx","Multi Family",1,4,"Y","Y",6.065,506,"Elizabeth","New Jersey",7208,6890,"2020-03-26",402574,"2020-12-09",98906,"Sold"
"uW3CgKaVkP","Land",5,4,"Y","N",5.549,2301,"Atlantic City","New Jersey",8402,6500,"2020-04-25",257852,"2020-07-17",217551,"Sold"
"2dhPC7nPhJ","Multi Family",0,4,"Y","N",8.32,347,"Atlantic City","New Jersey",8405,45600,"2020-01-26",491736,"2020-02-25",202822,"Pending"
"SvDVx6nlsQ","Multi Family",0,1,"Y","N",1.761,804,"Elizabeth","New Jersey",7215,26500,"2020-01-04",27716,"2020-04-17",117312,"Pending"
"uW3CgKaVkP","Land",5,4,"Y","N",5.549,2301,"Atlantic City","New Jersey",8405,45600,"2020-04-25",257852,"2020-07-17",217551,"Sold"
"QHLdLu4y8L","Multi Family",2,0,"Y","N",5.491,2290,"Atlantic City","New Jersey",8405,45600,"2020-06-29",86361,"2020-05-14",340524,"Sold"
"eb23C6HUV3","Single Family",3,3,"Y","Y",1.652,1824,"Atlantic City","New Jersey",8402,6500,"2020-06-26",176808,"2020-01-19",499481,"Sold"
"Q40oFUTcT6","Land",4,3,"N","N",3.035,2812,"Elizabeth","New Jersey",7215,26500,"2020-07-06",51102,"2020-07-02",472025,"Sold"
"ACfZ7p4k7t","Single Family",0,0,"Y","N",7.087,910,"Elizabeth","New Jersey",7208,6890,"2020-01-28",403007,"2020-01-10",31978,"Sold"
"OOVgsJcHTs","Single Family",1,2,"Y","Y",0.51,2340,"Atlantic City","New Jersey",8402,6500,"2020-08-01",388472,"2020-05-27",149230,"Pending"
"5y7qWgE9PA","Land",5,3,"Y","N",6.512,2620,"Atlantic City","New Jersey",8402,6500,"2021-01-21",79632,"2020-09-29",53438,"Pending"
"o9MJsf2LjW","Multi Family",5,0,"Y","N",6.265,184,"Elizabeth","New Jersey",7215,26500,"2020-08-30",396911,"2020-08-07",92100,"Pending"
"GsuAW3j6TW","Land",4,1,"Y","N",1.24,2416,"Elizabeth","New Jersey",7208,6890,"2020-12-11",65058,"2020-12-07",367333,"Sold"
"WlfY6n0pRR","Single Family",2,2,"Y","Y",5.313,471,"Atlantic City","New Jersey",8402,6500,"2020-07-10",492965,"2020-06-15",439254,"Pending"
"V5UBUNOfnp","Single Family",0,3,"Y","N",2.534,1725,"Atlantic City","New Jersey",8404,8900,"2020-10-04",28867,"2020-04-26",369452,"Sold"
"woEZFm5cVD","Single Family",5,4,"N","Y",7.89,1849,"Elizabeth","New Jersey",7208,6890,"2020-06-30",317932,"2020-11-23",321641,"Sold"
"bGj9362uRX","Single Family",4,0,"N","N",0.929,2236,"Atlantic City","New Jersey",8404,8900,"2020-12-01",259748,"2020-02-10",130521,"Pending"
"DKpjZPQr3T","Land",5,2,"Y","Y",9.671,1303,"Elizabeth","New Jersey",7216,2100,"2020-10-01",44956,"2020-11-07",290808,"Pending"
"Mna4MmoPFa","Multi Family",0,2,"Y","N",6.754,309,"Elizabeth","New Jersey",7215,26500,"2020-04-11",410548,"2020-06-12",414114,"Sold"
"6WEHXsnzaJ","Multi Family",4,0,"Y","Y",7.238,1535,"Elizabeth","New Jersey",7208,6890,"2020-10-01",14569,"2020-02-05",131161,"Pending"
"eb23C6HUV3","Single Family",3,3,"Y","Y",1.652,1824,"Atlantic City","New Jersey",8405,45600,"2020-06-26",176808,"2020-01-19",499481,"Sold"
"p2EHnzXq8d","Single Family",5,1,"N","Y",7.914,100,"Atlantic City","New Jersey",8402,6500,"2021-01-25",132891,"2020-11-21",171274,"Sold"
"vOw72j3nZP","Single Family",1,3,"Y","N",1.49,2638,"Elizabeth","New Jersey",7216,2100,"2020-10-07",231276,"2020-10-03",110073,"Sold"
"BCaT5e9Fwk","Multi Family",2,4,"N","N",5.029,2147,"Atlantic City","New Jersey",8404,8900,"2020-01-21",464796,"2020-11-13",272199,"Sold"
"NjT3GooESg","Multi Family",5,2,"Y","Y",8.11,2951,"Basking Ridge","New Jersey",7920,7000,"2020-12-15",266282,"2020-05-20",279631,"Pending"
"3cVvUKT4Te","Land",2,4,"N","Y",0.303,2504,"Elizabeth","New Jersey",7215,26500,"2020-02-22",367132,"2020-06-13",37397,"Pending"
"mqemmSA28n","Land",3,0,"Y","N",2.972,1714,"Atlantic City","New Jersey",8405,45600,"2020-11-05",372266,"2020-07-29",466969,"Sold"
"lkihReBapo","Land",1,1,"N","N",5.239,1975,"Elizabeth","New Jersey",7208,6890,"2020-02-12",164142,"2020-12-26",182794,"Sold"
"Id5I3xtmcO","Land",4,0,"N","Y",4.656,1444,"Elizabeth","New Jersey",7215,26500,"2020-07-23",450319,"2020-12-09",50675,"Pending"
"T6l1a2N4Aq","Single Family",5,3,"Y","N",8.07,2044,"Elizabeth","New Jersey",7208,6890,"2020-04-23",301224,"2020-02-05",341883,"Pending"
"3A996DSV5d","Land",4,4,"N","Y",6.439,1665,"Atlantic City","New Jersey",8402,6500,"2020-02-20",373090,"2020-08-21",135198,"Sold"
"bc5W9XcrcN","Land",5,0,"Y","N",0.754,670,"Hammonton","New Jersey",8037,23729,"2020-06-15",464091,"2020-08-05",191730,"Sold"
"qeZLn4SuBk","Land",4,2,"N","Y",9.815,1419,"Atlantic City","New Jersey",8404,8900,"2021-01-20",86767,"2020-09-21",188746,"Pending"
"vmpDUmBFzH","Land",2,0,"Y","N",8.214,1267,"Elizabeth","New Jersey",7215,26500,"2020-05-02",165067,"2020-12-22",131751,"Pending"
"Hz4xTGSOmu","Land",3,2,"N","N",4.282,1054,"Hudson County","New Jersey",7305,12700,"2020-10-09",380164,"2020-11-11",270808,"Sold"
"lR2DqJiY0K","Multi Family",3,4,"N","N",3.195,1259,"Atlantic City","New Jersey",8405,45600,"2020-12-06",474656,"2020-09-17",337940,"Pending"
"ZacG3x65Do","Single Family",2,1,"Y","Y",8.652,268,"Elizabeth","New Jersey",7208,6890,"2020-08-06",224621,"2020-09-09",22466,"Sold"
"DT5YGBtvKG","Multi Family",0,4,"Y","N",8.249,2366,"Elizabeth","New Jersey",7208,6890,"2020-12-03",243418,"2020-08-09",352608,"Sold"
